Team,Player,Position,Age,Experience,College,Games_Played,Tgt_total,Tgt_avg,Tgt_max,Rec_total,Rec_avg,Rec_max,Yds_total,Yds_avg,Yds_max,Y/R_total,Y/R_avg,Y/R_max,TD_total,TD_avg,TD_max,Ctch%_total,Ctch%_avg,Ctch%_max,Fmb_total,Fmb_avg,Fmb_max,FL_total,FL_avg,FL_max
Packers,Malik Heath,WR,24.0,1,Copiah-Lincoln CCMississippi St.Mississippi,22,31.0,1.1071428571428572,4.0,21.0,0.75,4.0,166.0,5.928571428571429,46.0,85.67,3.0596428571428573,15.0,2.0,0.07142857142857142,1.0,891.7,31.84642857142857,100.0,,,,,,
Packers,Bo Melton,WR,25.0,1,Rutgers,16,36.0,0.8,9.0,21.0,0.4666666666666667,6.0,291.0,6.466666666666667,105.0,120.9,2.686666666666667,28.0,1.0,0.022222222222222223,1.0,538.1,11.957777777777778,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Rams,Jordan Whittington,WR,24.0,Rook,Texas,9,23.0,2.090909090909091,10.0,18.0,1.6363636363636365,7.0,201.0,18.272727272727273,89.0,43.370000000000005,3.9427272727272733,12.71,0.0,0.0,0.0,345.0,31.363636363636363,100.0,,,,,,
Bears,Tyler Scott,WR,23.0,1,Cincinnati,23,32.0,1.2307692307692308,5.0,17.0,0.6538461538461539,3.0,168.0,6.461538461538462,49.0,105.33,4.051153846153846,16.33,0.0,0.0,0.0,698.3,26.857692307692307,100.0,1.0,0.038461538461538464,1.0,1.0,0.038461538461538464,1.0
Panthers,Jalen Coker,WR,23.0,Rook,Holy Cross,7,26.0,2.3636363636363638,8.0,17.0,1.5454545454545454,4.0,263.0,23.90909090909091,78.0,88.17,8.015454545454546,19.5,1.0,0.09090909090909091,1.0,470.9,42.809090909090905,100.0,,,,,,
Cowboys,Jalen Brooks,WR,24.0,1,South Carolina,16,30.0,1.1111111111111112,6.0,14.0,0.5185185185185185,4.0,171.0,6.333333333333333,39.0,128.75,4.768518518518518,24.0,0.0,0.0,0.0,648.3,24.01111111111111,100.0,,,,,,
Giants,Ihmir Smith-Marsette,WR,25.0,3,Iowa,42,20.0,0.32786885245901637,3.0,14.0,0.22950819672131148,3.0,182.0,2.9836065573770494,103.0,104.83,1.7185245901639343,34.33,2.0,0.03278688524590164,1.0,750.0,12.295081967213115,100.0,4.0,0.06557377049180328,1.0,1.0,0.01639344262295082,1.0
Saints,Mason Tipton,WR,24.0,Rook,Yale,10,25.0,2.272727272727273,9.0,14.0,1.2727272727272727,6.0,99.0,9.0,45.0,49.0,4.454545454545454,15.0,0.0,0.0,0.0,508.4,46.21818181818182,100.0,,,,,,
Commanders,Luke McCaffrey,WR,23.0,Rook,NebraskaRice,11,17.0,1.5454545454545454,3.0,13.0,1.1818181818181819,3.0,134.0,12.181818181818182,44.0,80.0,7.2727272727272725,23.0,0.0,0.0,0.0,583.3,53.027272727272724,100.0,,,,,,
Buccaneers,Jalen McMillan,WR,23.0,Rook,Washington,7,24.0,2.1818181818181817,8.0,11.0,1.0,4.0,120.0,10.909090909090908,35.0,83.75,7.613636363636363,32.0,1.0,0.09090909090909091,1.0,327.9,29.80909090909091,100.0,,,,,,
Buccaneers,Rakim Jarrett,WR,23.0,1,Maryland,14,18.0,0.6428571428571429,4.0,11.0,0.39285714285714285,3.0,167.0,5.964285714285714,58.0,123.33,4.404642857142857,41.0,0.0,0.0,0.0,633.3,22.61785714285714,100.0,,,,,,
49ers,Ricky Pearsall,WR,24.0,Rook,Arizona St.Florida,5,17.0,1.5454545454545454,6.0,11.0,1.0,4.0,132.0,12.0,73.0,34.75,3.159090909090909,18.25,1.0,0.09090909090909091,1.0,226.7,20.60909090909091,100.0,,,,,,
Seahawks,Cody White,WR,26.0,3,Michigan St.,19,10.0,0.19230769230769232,3.0,8.0,0.15384615384615385,3.0,79.0,1.5192307692307692,44.0,37.83,0.7274999999999999,22.0,0.0,0.0,0.0,366.7,7.051923076923076,100.0,,,,,,
49ers,Ronnie Bell,WR,24.0,1,Michigan,26,19.0,0.6785714285714286,5.0,8.0,0.2857142857142857,2.0,90.0,3.2142857142857144,24.0,78.0,2.7857142857142856,20.0,3.0,0.10714285714285714,1.0,503.3,17.975,100.0,1.0,0.03571428571428571,1.0,0.0,0.0,0.0
Buccaneers,Ryan Miller,WR,24.0,1,Furman,6,13.0,0.4642857142857143,5.0,7.0,0.25,3.0,84.0,3.0,39.0,71.33,2.5475,39.0,1.0,0.03571428571428571,1.0,326.6,11.664285714285715,100.0,,,,,,
Cowboys,Ryan Flournoy,WR,25.0,Rook,Central Missouri St.Iowa WesternSE Missouri St.,6,6.0,0.6,3.0,4.0,0.4,2.0,44.0,4.4,19.0,34.5,3.45,13.0,0.0,0.0,0.0,216.7,21.669999999999998,100.0,1.0,0.1,1.0,1.0,0.1,1.0
Eagles,Ainias Smith,WR,23.0,Rook,Texas A&M,4,3.0,0.3,2.0,3.0,0.3,2.0,6.0,0.6,6.0,3.0,0.3,3.0,0.0,0.0,0.0,200.0,20.0,100.0,,,,,,
Rams,Xavier Smith,WR,27.0,1,Florida A&M,9,2.0,0.07142857142857142,2.0,2.0,0.07142857142857142,2.0,30.0,1.0714285714285714,30.0,3.0,0.10714285714285714,3.0,0.0,0.0,0.0,100.0,3.5714285714285716,100.0,,,,,,
Eagles,Johnny Wilson,WR,23.0,Rook,Arizona St.Florida St.,10,7.0,0.7,2.0,2.0,0.2,1.0,14.0,1.4,9.0,14.0,1.4,9.0,1.0,0.1,1.0,150.0,15.0,100.0,,,,,,
Seahawks,Dareke Young,WR,25.0,2,Lenoir-Rhyne,28,3.0,0.06666666666666667,2.0,2.0,0.044444444444444446,2.0,24.0,0.5333333333333333,24.0,12.0,0.26666666666666666,12.0,0.0,0.0,0.0,100.0,2.2222222222222223,100.0,,,,,,
49ers,Jacob Cowing,WR,23.0,Rook,Texas-El PasoArizona,9,3.0,0.2727272727272727,3.0,2.0,0.18181818181818182,2.0,50.0,4.545454545454546,50.0,25.0,2.272727272727273,25.0,0.0,0.0,0.0,66.7,6.0636363636363635,66.7,2.0,0.18181818181818182,1.0,1.0,0.09090909090909091,1.0
Falcons,Casey Washington,WR,23.0,Rook,Illinois,7,2.0,0.18181818181818182,1.0,1.0,0.09090909090909091,1.0,14.0,1.2727272727272727,14.0,14.0,1.2727272727272727,14.0,0.0,0.0,0.0,100.0,9.090909090909092,100.0,,,,,,
Cardinals,Xavier Weaver,WR,24.0,Rook,South FloridaColorado,1,,,,,,,,,,,,,,,,,,,,,,,,
Giants,Bryce Ford-Wheaton,WR,24.0,1,West Virginia,8,,,,,,,,,,,,,,,,,,,,,,,,
