Team,Player,Position,Age,Experience,College,Games_Played,Sk_total,Sk_avg,Sk_max,Solo_total,Solo_avg,Solo_max,Ast_total,Ast_avg,Ast_max,Comb_total,Comb_avg,Comb_max,TFL_total,TFL_avg,TFL_max,QBHits_total,QBHits_avg,QBHits_max,FF_total,FF_avg,FF_max,FR_total,FR_avg,FR_max
Vikings,Harrison Phillips,DL,28.0,6,Stanford,90,8.0,0.07272727272727272,1.0,143.0,1.3,7.0,147.0,1.3363636363636364,7.0,290.0,2.6363636363636362,13.0,15.0,0.13636363636363635,2.0,29.0,0.2636363636363636,3.0,1.0,0.00909090909090909,1.0,5.0,0.045454545454545456,1.0
Falcons,Kentavius Street,DL,28.0,5,North Carolina St.,72,7.5,0.0797872340425532,1.5,49.0,0.5212765957446809,3.0,45.0,0.4787234042553192,3.0,94.0,1.0,5.0,17.0,0.18085106382978725,2.0,14.0,0.14893617021276595,2.0,1.0,0.010638297872340425,1.0,1.0,0.010638297872340425,1.0
Bears,Gervon Dexter,DL,23.0,1,Florida,26,6.5,0.25,1.5,29.0,1.1153846153846154,4.0,20.0,0.7692307692307693,2.0,49.0,1.8846153846153846,6.0,3.0,0.11538461538461539,1.0,25.0,0.9615384615384616,4.0,0.0,0.0,0.0,1.0,0.038461538461538464,1.0
Packers,Kingsley Enagbare,DL,24.0,2,South Carolina,45,6.5,0.14444444444444443,1.5,53.0,1.1777777777777778,4.0,39.0,0.8666666666666667,4.0,92.0,2.0444444444444443,7.0,15.0,0.3333333333333333,2.0,18.0,0.4,2.0,3.0,0.06666666666666667,1.0,1.0,0.022222222222222223,1.0
Packers,Lukas Van Ness,DL,23.0,1,Iowa,28,6.0,0.21428571428571427,1.0,40.0,1.4285714285714286,3.0,14.0,0.5,2.0,54.0,1.9285714285714286,5.0,12.0,0.42857142857142855,1.0,13.0,0.4642857142857143,2.0,1.0,0.03571428571428571,1.0,1.0,0.03571428571428571,1.0
Buccaneers,Logan Hall,DL,24.0,2,Houston,43,6.0,0.13333333333333333,2.0,26.0,0.5777777777777777,3.0,23.0,0.5111111111111111,4.0,49.0,1.0888888888888888,4.0,10.0,0.2222222222222222,2.0,13.0,0.28888888888888886,5.0,0.0,0.0,0.0,3.0,0.06666666666666667,1.0
Packers,Karl Brooks,DL,24.0,1,Bowling Green,28,5.5,0.19642857142857142,1.5,20.0,0.7142857142857143,2.0,15.0,0.5357142857142857,2.0,35.0,1.25,4.0,7.0,0.25,2.0,9.0,0.32142857142857145,3.0,2.0,0.07142857142857142,1.0,4.0,0.14285714285714285,1.0
Vikings,Jonathan Bullard,DL,31.0,8,Florida,110,5.5,0.03985507246376811,1.0,125.0,0.9057971014492754,5.0,82.0,0.5942028985507246,7.0,207.0,1.5,8.0,27.0,0.1956521739130435,3.0,20.0,0.14492753623188406,2.0,2.0,0.014492753623188406,1.0,0.0,0.0,0.0
49ers,Jordan Elliott,DL,27.0,4,TexasMissouri,76,5.0,0.0641025641025641,1.0,59.0,0.7564102564102564,3.0,50.0,0.6410256410256411,4.0,109.0,1.3974358974358974,5.0,9.0,0.11538461538461539,1.0,11.0,0.14102564102564102,1.0,,,,,,
Giants,Rakeem Nunez-Roches,DL,31.0,9,Southern Miss,129,5.0,0.03333333333333333,1.0,93.0,0.62,5.0,106.0,0.7066666666666667,5.0,199.0,1.3266666666666667,6.0,16.0,0.10666666666666667,2.0,18.0,0.12,1.0,1.0,0.006666666666666667,1.0,1.0,0.006666666666666667,1.0
