Team,Player,Position,Age,Experience,College,Games_Played,Cmp_total,Cmp_avg,Cmp_max,Att_total,Att_avg,Att_max,Yds_total,Yds_avg,Yds_max,TD_total,TD_avg,TD_max,Int_total,Int_avg,Int_max,Rate_total,Rate_avg,Rate_max
Vikings,Brett Rypien,QB,28.0,4,Boise St.,11,98.0,1.2727272727272727,24.0,168.0,2.1818181818181817,46.0,950.0,12.337662337662337,242.0,4.0,0.05194805194805195,2.0,9.0,0.11688311688311688,3.0,500.9,6.5051948051948045,95.0
Bears,Tyson Bagent,QB,24.0,1,Shepherd,7,94.0,3.6153846153846154,25.0,143.0,5.5,37.0,859.0,33.03846153846154,232.0,3.0,0.11538461538461539,2.0,6.0,0.23076923076923078,3.0,354.0,13.615384615384615,97.2
Cowboys,Trey Lance,QB,24.0,3,North Dakota St.,9,60.0,0.9836065573770492,16.0,108.0,1.7704918032786885,29.0,818.0,13.40983606557377,249.0,5.0,0.08196721311475409,2.0,4.0,0.06557377049180328,1.0,600.8,9.849180327868853,127.1
Packers,Malik Willis,QB,25.0,2,AuburnLiberty,16,64.0,1.4222222222222223,14.0,105.0,2.3333333333333335,23.0,730.0,16.22222222222222,202.0,3.0,0.06666666666666667,1.0,3.0,0.06666666666666667,2.0,863.2,19.182222222222222,152.9
Saints,Spencer Rattler,QB,24.0,Rook,OklahomaSouth Carolina,3,59.0,5.363636363636363,25.0,99.0,9.0,40.0,571.0,51.90909090909091,243.0,1.0,0.09090909090909091,1.0,2.0,0.18181818181818182,2.0,213.6,19.418181818181818,82.1
Saints,Jake Haener,QB,25.0,1,WashingtonFresno St.,6,14.0,0.5,9.0,29.0,1.0357142857142858,17.0,177.0,6.321428571428571,122.0,1.0,0.03571428571428571,1.0,0.0,0.0,0.0,299.0,10.678571428571429,143.7
Lions,Hendon Hooker,QB,26.0,1,Virginia TechTennessee,3,6.0,0.21428571428571427,3.0,9.0,0.32142857142857145,4.0,62.0,2.2142857142857144,37.0,0.0,0.0,0.0,0.0,0.0,0.0,256.5,9.160714285714286,103.1
Cardinals,Clayton Tune,QB,25.0,1,Houston,11,12.0,0.42857142857142855,11.0,21.0,0.75,20.0,62.0,2.2142857142857144,58.0,0.0,0.0,0.0,2.0,0.07142857142857142,2.0,104.1,3.7178571428571425,83.3
Falcons,Michael Penix,QB,24.0,Rook,IndianaWashington,2,3.0,0.2727272727272727,2.0,5.0,0.45454545454545453,4.0,38.0,3.4545454545454546,24.0,0.0,0.0,0.0,0.0,0.0,0.0,187.4,17.036363636363635,118.7
Buccaneers,Kyle Trask,QB,26.0,2,Florida,4,3.0,0.04838709677419355,3.0,10.0,0.16129032258064516,9.0,23.0,0.3709677419354839,23.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,1.3225806451612903,42.4
Eagles,Tanner McKee,QB,24.0,Rook,Stanford,0,,,,,,,,,,,,,,,,,,
Rams,Stetson Bennett,QB,27.0,Rook,Jones County JCGeorgia,0,,,,,,,,,,,,,,,,,,
