Team,Player,Position,Age,Experience,College,Games_Played,Sk_total,Sk_avg,Sk_max,Solo_total,Solo_avg,Solo_max,Ast_total,Ast_avg,Ast_max,Comb_total,Comb_avg,Comb_max,TFL_total,TFL_avg,TFL_max,QBHits_total,QBHits_avg,QBHits_max,FF_total,FF_avg,FF_max,FR_total,FR_avg,FR_max
Lions,Zeke Turner,LB,28.0,6,Washington,84,0.0,0.0,0.0,48.0,0.4444444444444444,4.0,39.0,0.3611111111111111,6.0,87.0,0.8055555555555556,10.0,3.0,0.027777777777777776,2.0,0.0,0.0,0.0,1.0,0.009259259259259259,1.0,0.0,0.0,0.0
Cowboys,DeMarvion Overshown,LB,24.0,1,Texas,10,4.0,0.14814814814814814,2.0,46.0,1.7037037037037037,7.0,26.0,0.9629629629629629,6.0,72.0,2.6666666666666665,11.0,7.0,0.25925925925925924,3.0,5.0,0.18518518518518517,2.0,1.0,0.037037037037037035,1.0,0.0,0.0,0.0
Giants,Ty Summers,LB,29.0,5,TCU,77,0.0,0.0,0.0,46.0,0.4946236559139785,6.0,20.0,0.21505376344086022,3.0,66.0,0.7096774193548387,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.010752688172043012,1.0
Packers,Edgerrin Cooper,LB,23.0,Rook,Texas A&M,10,2.5,0.22727272727272727,1.0,31.0,2.8181818181818183,6.0,21.0,1.9090909090909092,5.0,52.0,4.7272727272727275,9.0,5.0,0.45454545454545453,2.0,4.0,0.36363636363636365,2.0,1.0,0.09090909090909091,1.0,1.0,0.09090909090909091,1.0
Bears,Amen Ogbongbemiga,LB,26.0,3,Oklahoma St.,56,2.0,0.03333333333333333,1.0,26.0,0.43333333333333335,4.0,19.0,0.31666666666666665,5.0,45.0,0.75,8.0,3.0,0.05,1.0,3.0,0.05,2.0,0.0,0.0,0.0,2.0,0.03333333333333333,1.0
Eagles,Nolan Smith,OLB,23.0,1,Georgia,27,4.5,0.16666666666666666,1.0,22.0,0.8148148148148148,2.0,20.0,0.7407407407407407,3.0,42.0,1.5555555555555556,4.0,5.0,0.18518518518518517,2.0,7.0,0.25925925925925924,1.0,,,,,,
Giants,Patrick Johnson,OLB,26.0,3,Tulane,58,0.0,0.0,0.0,24.0,0.3870967741935484,3.0,14.0,0.22580645161290322,3.0,38.0,0.6129032258064516,5.0,1.0,0.016129032258064516,1.0,4.0,0.06451612903225806,2.0,1.0,0.016129032258064516,1.0,1.0,0.016129032258064516,1.0
Giants,Tomon Fox,OLB,26.0,2,North Carolina,22,2.0,0.044444444444444446,1.0,20.0,0.4444444444444444,6.0,12.0,0.26666666666666666,2.0,32.0,0.7111111111111111,8.0,4.0,0.08888888888888889,2.0,3.0,0.06666666666666667,2.0,,,,,,
Vikings,Brian Asamoah,LB,24.0,2,Oklahoma,40,0.0,0.0,0.0,13.0,0.28888888888888886,4.0,13.0,0.28888888888888886,4.0,26.0,0.5777777777777777,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.022222222222222223,1.0,1.0,0.022222222222222223,1.0
Cowboys,Marist Liufau,LB,23.0,Rook,Notre Dame,10,0.0,0.0,0.0,16.0,1.6,4.0,7.0,0.7,2.0,23.0,2.3,5.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,1.0
Lions,James Houston,LB,26.0,2,FloridaJackson St.,17,9.0,0.2,3.0,17.0,0.37777777777777777,3.0,4.0,0.08888888888888889,2.0,21.0,0.4666666666666667,3.0,8.0,0.17777777777777778,2.0,14.0,0.3111111111111111,3.0,1.0,0.022222222222222223,1.0,1.0,0.022222222222222223,1.0
Eagles,Ben VanSumeren,LB,24.0,1,MichiganMichigan St.,19,0.0,0.0,0.0,7.0,0.25925925925925924,2.0,9.0,0.3333333333333333,4.0,16.0,0.5925925925925926,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Lions,Trevor Nowaske,LB,26.0,1,Saginaw Valley St.,11,2.0,0.07142857142857142,1.0,10.0,0.35714285714285715,4.0,5.0,0.17857142857142858,2.0,15.0,0.5357142857142857,5.0,2.0,0.07142857142857142,1.0,2.0,0.07142857142857142,1.0,,,,,,
Giants,Darius Muasau,LB,23.0,Rook,HawaiiUCLA,9,0.0,0.0,0.0,8.0,0.7272727272727273,5.0,5.0,0.45454545454545453,2.0,13.0,1.1818181818181819,6.0,1.0,0.09090909090909091,1.0,0.0,0.0,0.0,,,,,,
Cowboys,Buddy Johnson,LB,25.0,3,Texas A&M,13,0.0,0.0,0.0,7.0,0.12280701754385964,3.0,5.0,0.08771929824561403,2.0,12.0,0.21052631578947367,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Bears,Noah Sewell,LB,22.0,1,Oregon,18,0.0,0.0,0.0,6.0,0.23076923076923078,1.0,6.0,0.23076923076923078,3.0,12.0,0.46153846153846156,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.07692307692307693,1.0,0.0,0.0,0.0
Vikings,Dallas Turner,OLB,21.0,Rook,Alabama,10,1.0,0.09090909090909091,1.0,5.0,0.45454545454545453,3.0,4.0,0.36363636363636365,2.0,9.0,0.8181818181818182,3.0,1.0,0.09090909090909091,1.0,2.0,0.18181818181818182,1.0,,,,,,
Vikings,Bo Richter,OLB,24.0,Rook,Air Force,8,0.0,0.0,0.0,4.0,0.36363636363636365,2.0,0.0,0.0,0.0,4.0,0.36363636363636365,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09090909090909091,1.0
Eagles,Jalyx Hunt,OLB,23.0,Rook,CornellHouston Christian,9,1.0,0.1,1.0,3.0,0.3,1.0,0.0,0.0,0.0,3.0,0.3,1.0,0.0,0.0,0.0,1.0,0.1,1.0,2.0,0.2,1.0,0.0,0.0,0.0
Commanders,Jordan Magee,LB,23.0,Rook,Temple,4,0.0,0.0,0.0,2.0,0.18181818181818182,1.0,0.0,0.0,0.0,2.0,0.18181818181818182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
